CNPJ_CIA;DENOM_SOCIAL;SIT
00.383.281/0001-09;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;ATIVO
10.807.374/0001-77;BOA SAFRA SEMENTES S.A;ATIVO
11.725.176/0001-27;BOA VISTA SERVIÇOS S.A.;CANCELADA
42.419.846/0001-00;BOAVISTA SA ARREND MERCANTIL;CANCELADA
42.419.846/0001-00;BOAVISTA SA ARREND MERCANTIL;CANCELADA
33.528.720/0001-83;BOAVISTA SA CRED FIN E INV;CANCELADA
17.387.473/0001-96;BOCAIUVA TEXTIL SA;CANCELADA
10.894.123/0001-77;BOLERO PARTICIPAÇÕES SA;CANCELADA
08.936.812/0001-55;BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A;CANCELADA
00.257.846/0001-01;BOMBRIL HOLDING SA;CANCELADA
50.564.053/0001-03;BOMBRIL SA;ATIVO
97.422.620/0001-50;BOMPREÇO BAHIA SA;CANCELADA
13.004.510/0001-89;BOMPRECO SA SUPERMERCADO DO NE;CANCELADA
01.269.202/0001-04;BOMPRECO TRUST RECEBIVEIS SA;CANCELADA
02.117.801/0001-67;BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO;ATIVO
84.583.608/0001-86;BONATO SA COM E INDUSTRIA;CANCELADA
60.858.586/0001-51;BONFIGLIOLI COML CONSTRUT SA;CANCELADA
96.734.884/0001-87;BORBONITE SA IND DE BORRACHAS;CANCELADA
91.302.034/0001-96;BORELLA SA IND E COMERCIO;CANCELADA
33.323.742/0001-07;BORGHOFF SA;CANCELADA
60.943.388/0001-96;BORLEM SA EMPREEND INDUSTRIAIS;CANCELADA
87.870.952/0001-44;BORRACHAS VIPAL S.A.;ATIVO
00.183.435/0001-19;BOSFORO PARTICIPACOES SA;CANCELADA
43.458.421/0001-73;BOSTON EXPORTADORA IMPORT SA;CANCELADA
61.087.581/0001-35;BOTUCATU TÊXTIL S. A.;CANCELADA
08.695.953/0001-23;BOVESPA HOLDING SA;CANCELADA
15.483.430/0001-89;BPMB I PARTICIPAÇÕES S.A.;CANCELADA
10.739.356/0001-03;BR ADVISORY PARTNERS PARTICIPACOES S.A.;ATIVO
11.102.250/0001-59;BR HOME CENTERS S.A.;CANCELADA
06.977.745/0001-91;BR MALLS PARTICIPAÇOES S.A.;ATIVO
06.977.751/0001-49;BR PROPERTIES S.A.;CANCELADA
06.977.751/0001-49;BR PROPERTIES S.A.;CANCELADA
14.206.371/0001-39;BR TOWERS SPE1 S.A.;CANCELADA
62.868.302/0001-33;BRADESCO BCN LEASING S/A ARR MERCANTIL;CANCELADA
47.509.120/0001-82;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;CANCELADA
47.509.120/0001-82;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;CANCELADA
47.509.120/0001-82;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;ATIVO
43.833.821/0001-11;BRADESCO LEASING S.A. ARREND. MERCANTIL;CANCELADA
43.833.821/0001-11;BRADESCO LEASING S.A. ARREND. MERCANTIL;CANCELADA
60.885.068/0001-27;BRADESCO TURISMO SA ADM E SERV;CANCELADA
03.847.461/0001-92;BRADESPAR S/A;ATIVO
61.782.769/0001-01;BRADESPLAN PARTICIPAÇOES SA;CANCELADA
68.587.724/0001-17;BRAFCO SA;CANCELADA
17.246.695/0001-99;BRAFER INDL SA PRODS SIDERURG;CANCELADA
61.149.084/0001-14;BRAMPAC SA;CANCELADA
01.187.338/0001-67;BRASCAN IMOBILIARIA SA;CANCELADA
84.489.996/0001-30;BRASIL & MOVIMENTOS S/A;CANCELADA
04.833.448/0001-47;BRASIL BELEM HOTEIS E TURISMO SA;CANCELADA
66.890.369/0001-25;BRASIL BETON SA;CANCELADA
09.478.309/0001-66;BRASIL BIOFUELS S.A.;ATIVO
00.311.787/0001-02;BRASIL CENTRAL HOTEIS E TUR SA;CANCELADA
02.457.269/0001-27;BRASIL FERROVIAS S.A.;CANCELADA
33.206.475/0001-98;BRASIL OITICICA S/A;CANCELADA
06.022.461/0001-41;BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO;CANCELADA
12.610.764/0001-88;BRASIL PLURAL SECURITIZADORA S.A.;CANCELADA
13.483.537/0001-00;BRASIL SECURITIZADORA S.A.;CANCELADA
35.764.708/0001-01;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;ATIVO
02.570.688/0001-70;BRASIL TELECOM PARTICIPAÇÕES SA;CANCELADA
13.776.362/0001-10;BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A;CANCELADA
07.628.528/0001-59;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;ATIVO
05.482.166/0001-05;BRASILIANA ENERGIA SA;CANCELADA
08.773.191/0001-36;BRASILIANA PARTICIPAÇÕES S.A.;ATIVO
20.706.727/0001-04;BRASILINVEST INFORM.TELEC.S/A;CANCELADA
61.064.838/0001-33;BRASILIT SA;CANCELADA
33.177.734/0001-08;BRASILJUTA SA FIACAO TEC JUTA;CANCELADA
60.856.820/0001-01;BRASIMET COM E INDUSTRIA SA;CANCELADA
42.150.391/0001-70;BRASKEM S.A.;ATIVO
60.837.689/0001-35;BRASMETAL CIA BRAS METALURGIA;CANCELADA
61.084.984/0001-20;BRASMOTOR SA;CANCELADA
01.946.997/0001-30;BRAUSTAM HOTEIS REIT SA;CANCELADA
03.144.779/0001-07;BRAVO SECURITIZADORA S/A;CANCELADA
10.826.798/0001-89;BRAZAL - BRASIL ALIMENTOS S.A.;CANCELADA
14.292.540/0001-09;BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A;ATIVO
02.762.113/0001-50;BRAZILIAN FINANCE & REAL ESTATE S.A.;ATIVO
03.767.538/0001-14;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;ATIVO
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;ATIVO
33.136.888/0001-43;BRB CRED FINANC E INVEST SA;CANCELADA
08.653.753/0001-08;BRC SECURITIZADORA SA;CANCELADA
01.838.723/0001-27;BRF S.A.;ATIVO
61.068.557/0001-59;BRINQUEDOS BANDEIRANTES SA;CANCELADA
61.322.731/0001-48;BRINQUEDOS MIMO SA;CANCELADA
19.796.586/0001-70;BRISANET PARTICIPAÇÕES S.A.;ATIVO
39.580.673/0001-01;BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.;ATIVO
24.396.489/0001-20;BRK AMBIENTAL PARTICIPAÇÕES S.A.;ATIVO
07.700.557/0001-84;BROOKFIELD INCORPORAÇÕES S.A.;CANCELADA
58.877.812/0001-08;BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.;CANCELADA
07.088.416/0001-52;BRPR 45 SECURITZADORA CRED IMOB SA;CANCELADA
04.800.265/0001-25;BRPR 51 SECURITZADORA CRED IMOB SA;CANCELADA
07.033.882/0001-30;BRPR 52 SECURITZADORA CRED IMOB SA;CANCELADA
04.370.082/0001-17;BRPR 53 SECURITZADORA CRED IMOB SA;CANCELADA
07.710.591/0001-30;BRPR 55 SECURITZADORA CRED IMOB SA;CANCELADA
06.137.677/0001-52;BRPR 56 SECURITZADORA CRED IMOB SA;CANCELADA
36.542.025/0001-64;BRQ SOLUÇÕES EM INFORMÁTICA S.A.;ATIVO
09.462.890/0001-28;BRT HOLDING 1 SA;CANCELADA
52.082.872/0001-40;BRUMADINHO SA MIN E METAIS;CANCELADA
04.065.053/0001-41;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;ATIVO
03.468.802/0001-19;BRZ INVESTIMENTOS S/A;CANCELADA
60.736.279/0001-06;BS CONTINENTAL SA ULTL DOMEST;CANCELADA
61.356.762/0001-10;BS INFORM E ADMINISTR SA;CANCELADA
10.603.674/0001-34;BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;CANCELADA
03.820.456/0001-96;BSB ENERGÉTICA S.A.;ATIVO
68.704.923/0001-68;BSE SA;CANCELADA
11.257.352/0001-43;BSI CAPITAL SECURITIZADORA S.A.;CANCELADA
07.110.438/0001-71;BTG PACTUAL HOLDING PARTICIPAÇÕES S.A.;CANCELADA
59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;CANCELADA
21.948.105/0001-47;BTGI QUARTZO PARTICIPAÇÕES S.A.;ATIVO
21.976.510/0001-79;BTGI SAFIRA PARTICIPAÇÕES S.A.;ATIVO
28.126.928/0001-36;BUAIZ SA INDUSTRIA E COMERCIO;CANCELADA
86.047.198/0001-84;BUDDEMEYER S/A;CANCELADA
82.981.812/0001-20;BUETTNER SA IND E COMÉRCIO;CANCELADA
02.109.419/0001-01;BULHOES CARVALHO F NOTES SA;CANCELADA
84.046.101/0001-93;BUNGE ALIMENTOS SA;CANCELADA
61.074.092/0001-49;BUNGE BRASIL SA;CANCELADA
61.082.822/0001-53;BUNGE FERTILIZANTES SA;CANCELADA
84.684.471/0001-56;BUSCHLE & LEPPER SA;CANCELADA
01.858.774/0001-10;BV LEASING - ARRENDAMENTO MERCANTIL S/A;CANCELADA
04.794.781/0001-94;BVA EMPREENDIMENTOS SA;CANCELADA
00.019.388/0001-72;BWU VIDEO SA;CANCELADA
45.242.914/0001-05;C&A MODAS S.A.;ATIVO
58.798.612/0001-51;C. P. E. PENINSULA DO TUCURUÇUTUBA;CANCELADA
04.030.182/0001-02;CABINDA PARTICIPAÇÕES SA;ATIVO
05.336.882/0001-84;CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA;ATIVO
20.933.354/0001-04;CACHOEIRA VELONORTE;CANCELADA
04.031.213/0001-31;CACONDE PARTICIPAÇÕES SA;ATIVO
31.865.728/0001-00;CAEMI MINERAÇÃO E METALURGIA S.A.;CANCELADA
84.584.481/0001-10;CAETANO BRANCO SA;CANCELADA
25.869.736/0001-21;CAFE SOLUVEL BRASILIA SA;CANCELADA
04.038.763/0001-82;CAIANDA PARTICIPAÇÕES SA;ATIVO
04.031.882/0001-03;CAICOS PARTICIPAÇÕES SA;CANCELADA
00.979.969/0001-56;CAIXA ADM DIV PUB ESTADUAL SA;ATIVO
34.020.354/0001-10;CAIXA SEGURADORA SA;CANCELADA
22.543.331/0001-00;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;ATIVO
07.340.946/0001-46;CAJU INDUSTRIAL SA CISA;CANCELADA
06.565.410/0001-66;CAJUNORTE DO BRASIL SA;CANCELADA
98.408.073/0001-11;CALÇADOS AZALÉIA SA;CANCELADA
90.261.199/0001-02;CALCADOS ORTOPE SA IND E COM;CANCELADA
02.992.453/0001-77;CALIBRE PARTICIPAÇÕES S/A;CANCELADA
67.203.208/0001-89;CAMARGO CORREA DESENVOLVIMENTO  IMOBILIARIO SA;CANCELADA
61.088.894/0001-08;CAMBUCI SA;ATIVO
64.904.295/0001-03;CAMIL ALIMENTOS S/A;ATIVO
08.823.932/0001-46;CAMPINENSE INDUSTRIAS GERAIS SA;CANCELADA
01.533.298/0001-68;CANADENSE SA INDUSTRIA E PNEUS AGRICOLA;CANCELADA
41.811.375/0001-19;CANAL COMPANHIA DE SECURITIZAÇÃO;CANCELADA
41.096.674/0001-19;CANTU STORE S.A.;ATIVO
15.229.110/0001-05;CAPITALE SECURITIZADORA DE CREDITO S.A.;CANCELADA
02.591.787/0001-39;CAPITALPART PARTICIPAÇÕES SA;ATIVO
08.642.503/0001-72;CAPRI PARTICIPAÇÕES SA;CANCELADA
15.224.488/0001-08;CARAIBA METAIS SA;CANCELADA
79.119.939/0001-20;CARAMURU ALIMENTOS DE MILHO SA;CANCELADA
00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;ATIVO
07.253.321/0001-47;CARBOMIL SA MINER. E INDUSTRIA;ATIVO
25.633.934/0001-91;CARFEPE SA - ADMINISTRADORA E PARTICIPADORA;CANCELADA
61.156.501/0001-56;CARGILL FERTILIZANTES SA;CANCELADA
07.573.058/0001-73;CARIRI INDUSTRIAL DE OLEOS SA;CANCELADA
61.565.511/0001-45;CASA ANGLO BRASILEIRA S/A;CANCELADA
31.468.139/0001-98;CASA DE PEDRA SECURITIZADORA DE CRÉDITO S.A.;CANCELADA
92.692.946/0001-84;CASA DICO SA COM E INDUSTRIA;CANCELADA
33.024.860/0001-14;CASA JOSE SILVA CONFECCOES SA;CANCELADA
92.795.673/0001-01;CASA MASSON SA COM E INDUSTRIA;CANCELADA
33.256.918/0001-55;CASAS DA BANHA COMERCIO E INDUSTRIA SA;CANCELADA
02.036.214/0001-43;CASCAIS PARTICIPACOES SA;CANCELADA
07.092.232/0001-66;CASCAJU AGROINDUSTRIAL SA;CANCELADA
07.138.860/0001-35;CAUCAIA INDUSTRIAL SA CAISA;CANCELADA
00.027.742/0001-00;CBCC PARTICIPAÇÕES SA;CANCELADA
33.053.729/0001-85;CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA;CANCELADA
60.402.153/0001-97;CBH CIA BRAS HABITACAO;CANCELADA
14.882.295/0001-81;CBO HOLDING S.A.;ATIVO
15.234.115/0001-18;CBV EQUIPAMENTOS INDS SA;CANCELADA
33.051.186/0001-67;CBV INDUSTRIA MECANICA SA;CANCELADA
15.213.143/0001-59;CBV NORDESTE IND MECANICA SA;CANCELADA
69.720.910/0001-45;CCB BRASIL ARRENDAMENTO MERCANTIL S/A;CANCELADA
15.109.739/0001-03;CCC CIA DE CARBONOS COLOIDAIS;CANCELADA
61.345.096/0001-14;CCE IND COM;CANCELADA
02.846.056/0001-97;CCR S.A.;ATIVO
07.950.674/0001-04;CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO;SUSPENSO(A) - DECISÃO ADM
62.463.005/0001-08;CEAGESP CIA ENTR ARM GERAIS SP;CANCELADA
07.174.006/0001-24;CECASA;CANCELADA
79.655.916/0001-30;CECRISA REVESTIMENTOS CERAMICOS SA;CANCELADA
17.158.536/0001-32;CEESA-CONST.ESTRADAS ESTR. SA;CANCELADA
02.201.787/0001-85;CEL PARTICIPAÇÕES S.A. - CELPAR;ATIVO
31.001.230/0001-07;CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;ATIVO
61.135.711/0001-68;CELITE SA IND E COMERCIO;CANCELADA
61.086.823/0001-76;CELM CIA EQUIP LABS MODERNOS;CANCELADA
03.010.016/0001-73;CELULAR CRT PARTICIPAÇÕES S.A.;CANCELADA
07.844.087/0001-22;CEMAG SA;CANCELADA
93.828.986/0001-73;CEMEPE INVESTIMENTOS SA;ATIVO
06.981.180/0001-16;CEMIG DISTRIBUIÇÃO S/A;ATIVO
06.981.176/0001-58;CEMIG GERAÇÃO E TRANSMISSÃO S/A;ATIVO
02.983.428/0001-27;CEMIG TELECOMUNICAÇÕES S/A;CANCELADA
39.346.861/0350-38;CENCOSUD BRASIL COMERCIAL S.A.;ATIVO
07.949.970/0001-87;CENTENNIAL ASSET PART. MINAS-RIO S/A;CANCELADA
08.835.366/0001-92;CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA;CANCELADA
00.001.180/0001-26;CENTRAIS ELETRICAS BRASILEIRAS SA;ATIVO
01.672.223/0001-68;CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A;CANCELADA
83.878.892/0001-55;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;ATIVO
00.357.038/0001-16;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ATIVO
09.866.294/0001-03;CENTRO HOSPITALAR  ALBERT SABIN SA;CANCELADA
02.191.115/0001-36;CENTRO SECULO XXI SA;CANCELADA
02.555.926/0001-79;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;CANCELADA
61.708.426/0001-99;CEPEBE SA;CANCELADA
52.736.840/0001-10;CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL;CANCELADA
55.186.423/0001-30;CERAMICA PORTO FERREIRA SA;CANCELADA
13.034.863/0001-21;CERAMICA SANTA MARCIA SA;CANCELADA
10.791.218/0001-65;CERAMICA SANTO ANTONIO SA;CANCELADA
52.736.790/0001-71;CERAMICA SAO JOSE GUACU;CANCELADA
41.534.746/0001-62;CERES SECURITIZADORA S.A.;CANCELADA
08.322.396/0001-03;CERRADINHO BIOENERGIA S.A.;ATIVO
60.933.603/0001-78;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;ATIVO
60.933.603/0001-78;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;ATIVO
61.550.497/0001-06;CETENCO ENGENHARIA SA;CANCELADA
00.956.274/0001-59;CETERP-CENT TELEF RIB PRETO SA;CANCELADA
09.358.105/0001-91;CETIP S.A. - MERCADOS ORGANIZADOS;CANCELADA
09.358.105/0001-91;CETIP S.A. - MERCADOS ORGANIZADOS;CANCELADA
02.189.227/0001-52;CEVAL PARTICIPAÇOES SA;CANCELADA
60.586.948/0001-00;CEVEKOL SA IND COM PROD QUIM;CANCELADA
82.949.371/0001-89;CHAPECO CIA INDL DE ALIMENTOS;CANCELADA
77.404.937/0001-57;CHAPECO PARANA SA IND E COM;CANCELADA
43.817.154/0001-83;CHASE MANHATTAN LEASING SA A M;CANCELADA
03.391.520/0001-60;CHEMICAL TRUST S/A;CANCELADA
07.450.604/0001-89;CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.;CANCELADA
19.014.221/0001-47;CHINA THREE GORGES BRASIL ENERGIA S.A.;ATIVO
02.194.017/0001-52;CIA AGRO INDL DE GOIAS CAGIGO;CANCELADA
06.276.703/0001-23;CIA AGRO PECUARIA SANTA INES;CANCELADA
07.292.675/0001-09;CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS;CANCELADA
04.564.696/0001-30;CIA AMAZONENSE SAPONIFICACAO;CANCELADA
33.615.956/0001-57;CIA AMERICA FABRIL;CANCELADA
33.074.691/0001-27;CIA AMERICA SUL CFI;CANCELADA
33.490.095/0001-28;CIA AUXILIAR EMP MIN CAEMI;CANCELADA
58.128.174/0001-14;CIA BANDEIRANTES ARMS GERAIS;CANCELADA
17.167.362/0001-74;CIA BANDEIRANTES CFI;CANCELADA
42.584.128/0001-90;CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES;CANCELADA
42.113.662/0001-18;CIA BOZANO SIMONSEN COM IND;CANCELADA
33.316.100/0001-80;CIA BRAS MATERIAIS COBRACO;CANCELADA
61.079.315/0001-60;CIA BRAS PLASTICOS MONSANTO;CANCELADA
61.156.410/0001-10;CIA BRAS PROJETOS OBRAS CBPO;CANCELADA
07.203.144/0001-94;CIA BRASILEIRA DE ESTRUTURAS METALICAS;CANCELADA
78.588.415/0001-15;CIA CACIQUE CAFE SOLUVEL;CANCELADA
82.508.433/0001-17;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;ATIVO
33.366.980/0001-08;CIA CERVEJARIA BRAHMA;CANCELADA
03.468.832/0001-25;CIA CERVEJARIA CUIABANA;CANCELADA
09.934.407/0001-60;CIA CIMENTO ATOL;CANCELADA
60.869.302/0001-22;CIA CIMENTO IPANEMA;CANCELADA
89.724.017/0001-03;CIA CIMENTO PORTL GAUCHO;CANCELADA
33.160.318/0001-99;CIA CIMENTO PORTL PARAISO;CANCELADA
15.218.084/0001-01;CIA CIMENTO SALVADOR;CANCELADA
61.422.663/0001-99;CIA COMERCIAL BORBA CAMPO;CANCELADA
82.636.887/0001-73;CIA COML SCHRADER;CANCELADA
33.034.901/0001-53;CIA CONSTRUTORA PEDERNEIRAS;CANCELADA
09.123.654/0001-87;CIA DE AGUA E ESGOTO DA PARAIBA;CANCELADA
15.139.629/0001-94;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;ATIVO
02.016.507/0001-69;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;ATIVO
01.938.783/0001-11;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;ATIVO
04.652.792/0001-30;CIA DE RECUPERAÇÃO SECUNDÁRIA;CANCELADA
03.631.397/0001-08;CIA DES ARAGUAIA CODEARA;CANCELADA
05.770.003/0001-28;CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA;CANCELADA
84.208.123/0001-02;CIA DOCAS DE IMBITUBA;CANCELADA
07.047.251/0001-70;CIA ENERG CEARA - COELCE;ATIVO
17.155.730/0001-64;CIA ENERG MINAS GERAIS - CEMIG;ATIVO
10.835.932/0001-08;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;ATIVO
08.324.196/0001-81;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;ATIVO
02.201.268/0001-17;CIA ENERGETICA MERIDIONAL;CANCELADA
33.352.394/0001-04;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;ATIVO
08.467.115/0001-00;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;ATIVO
92.715.812/0001-31;CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;ATIVO
10.783.777/0001-23;CIA FABRICA YOLANDA;CANCELADA
16.718.231/0001-75;CIA FABRIL MASCARENHAS;CANCELADA
18.977.124/0001-97;CIA FERRO BRASILEIRO;CANCELADA
15.141.799/0001-03;CIA FERRO LIGAS BAHIA FERBASA;ATIVO
23.116.551/0001-10;CIA FIAÇÃO TECELAGEM PARA MINAS;CANCELADA
92.659.325/0001-07;CIA GERAL DE INDUSTRIAS;CANCELADA
82.639.139/0001-44;CIA HERING;CANCELADA
78.876.950/0001-71;CIA HERING;CANCELADA
33.541.368/0001-16;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;ATIVO
33.433.822/0001-15;CIA INDL AGRIC SANTA CECILIA;CANCELADA
04.384.319/0001-19;CIA INDL AMAZONENSE;CANCELADA
61.074.506/0001-30;CIA INDL MERC ARTEF FERRO;CANCELADA
56.969.355/0001-48;CIA INDL MERC PAOLETTI;CANCELADA
07.285.448/0001-48;CIA INDL MICHELETTO;CANCELADA
92.779.438/0001-38;CIA INDL RIO GUAHYBA;CANCELADA
33.174.145/0001-68;CIA INDL SAO PAULO RIO CISPER;CANCELADA
07.785.306/0001-40;CIA INDUSTRIAL AGROPECUARIA CONAPE;CANCELADA
17.161.316/0001-68;CIA INDUSTRIAL BELO HORIZONTE;CANCELADA
07.998.164/0001-07;CIA INDUSTRIAL BRASILEIRA ALIMENTOS;CANCELADA
33.041.120/0001-96;CIA INDUSTRIAL DOX;CANCELADA
07.197.411/0001-68;CIA INDUSTRIAL PELES COUROS;CANCELADA
19.711.282/0001-63;CIA INDUSTRIAL SANTA MATILDE;CANCELADA
82.981.929/0001-03;CIA INDUSTRIAL SCHLOSSER S.A.;ATIVO
01.222.069/0001-22;CIA INTER-ATLANTICO PARTICIPS;CANCELADA
42.584.060/0001-49;CIA INTERNACIONAL FIDUCIARIA;CANCELADA
04.904.199/0001-33;CIA INVEST DO PARA;CANCELADA
00.189.469/0001-10;CIA INVESTS LATINOAMERICANA;CANCELADA
92.753.367/0001-02;CIA IOCHPE;CANCELADA
60.434.487/0001-42;CIA LECO DE PRODS ALIMENTICIOS;CANCELADA
78.597.697/0001-17;CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO;CANCELADA
04.971.941/0001-23;CIA MADEIREIRA SAO MIGUEL;CANCELADA
06.272.199/0001-93;CIA MARANHENSE REFRIGERANTES;CANCELADA
22.664.890/0001-79;CIA MATS SULFUROSOS MATSULFUR;CANCELADA
91.154.690/0001-99;CIA MINUANO DE ALIMENTOS;CANCELADA
71.039.119/0001-16;CIA NAC FRIGORIFICOS CONFRIO;CANCELADA
33.098.112/0001-86;CIA NACIONAL DE ALCALIS;CANCELADA
71.444.582/0001-43;CIA NACIONAL ESTAMPARIA CIANE;CANCELADA
33.630.120/0001-21;CIA NAVEGACAO LLOYD BRASILEIRO;CANCELADA
61.150.348/0001-50;CIA NITROQUIMICA BRASILEIRA;CANCELADA
10.804.300/0001-87;CIA PARAIBA CIM PORTL CIMEPAR;CANCELADA
01.596.401/0001-19;CIA PAULISTA DE ADM DE ATIVOS;CANCELADA
57.484.495/0001-99;CIA PAULISTA DE LAMINACAO;CANCELADA
61.015.582/0001-74;CIA PAULISTA ENERGIA ELETRICA;CANCELADA
61.087.912/0001-37;CIA PAULISTA FERTILIZANTES;CANCELADA
00.091.652/0001-89;CIA PESQS RECURSOS MINERAIS;CANCELADA
02.854.397/0001-04;CIA PETROLIFERA MARLIM;CANCELADA
04.172.213/0001-51;CIA PIRATININGA DE FORÇA E LUZ;ATIVO
15.213.374/0001-62;CIA PNEUS TROPICAL;CANCELADA
58.143.967/0001-02;CIA PRODUTORES ARMS GERAIS;CANCELADA
33.000.035/0001-80;CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU;CANCELADA
04.200.649/0001-07;CIA PROVINCIA DE SECURITIZAÇÃO;CANCELADA
13.837.489/0001-00;CIA QUIMICA METACRIL;CANCELADA
92.691.120/0001-09;CIA RIOGRANDENSE DE ADUBOS;CANCELADA
92.802.784/0001-90;CIA RIOGRANDENSE DE SANEAMENTO;ATIVO
92.794.486/0001-03;CIA RIOGRANDENSE TELECOMUNICAÇÕES;CANCELADA
33.035.759/0001-69;CIA SALINAS PERYNAS;CANCELADA
43.776.517/0001-80;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;ATIVO
43.776.517/0001-80;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;ATIVO
61.360.434/0001-97;CIA SANTISTA DE PAPEL;CANCELADA
35.522.178/0001-87;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;ATIVO
15.144.017/0001-90;CIA SEGUROS ALIANCA DA BAHIA;CANCELADA
60.405.925/0001-44;CIA SEGUROS AMER SUL YASUDA;CANCELADA
15.104.490/0001-43;CIA SEGUROS BAHIA;CANCELADA
17.197.385/0001-21;CIA SEGUROS MINAS BRASIL;CANCELADA
33.432.139/0001-63;CIA SEGUROS RIO BRANCO;CANCELADA
33.158.031/0001-24;CIA SERVICOS ENGA SERVIENGE;CANCELADA
12.287.314/0001-04;CIA SID ALAGOAS COMESA;CANCELADA
10.806.057/0001-36;CIA SID NORDESTE;CANCELADA
20.141.321/0001-13;CIA SID PAINS;CANCELADA
04.561.023/0001-26;CIA SIDERURGICA AMAZONIA;CANCELADA
61.045.381/0001-10;CIA SIDERURGICA MOGI CRUZES(sucedida pela UNIÂO FEDERAL -CNPJ:37115383000153;CANCELADA
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;ATIVO
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;ATIVO
33.000.076/0001-76;CIA T JANER COM IND;CANCELADA
22.677.520/0001-76;CIA TECIDOS NORTE DE MINAS - COTEMINAS - EM RECUPERAÃ+O JUDICIAL;ATIVO
21.255.567/0001-89;CIA TECIDOS SANTANENSE - EM RECUPERAÃ+O JUDICIAL;ATIVO
60.830.833/0001-01;CIA TECNICA DE ENGENHARIA ELETRIC A;CANCELADA
57.486.177/0001-67;CIA TELEF BORDA DO CAMPO;CANCELADA
92.195.189/0001-33;CIA TELEF MELHOR RESIST;CANCELADA
33.460.809/0001-55;CIA TELEFONES DO RJ CETEL;CANCELADA
01.447.243/0001-35;CIA TERRAS BONSUCESSO;CANCELADA
05.389.812/0001-94;CIA TEXTIL CASTANHAL;CANCELADA
01.540.533/0001-29;CIA THERMAS RIO QUENTE;CANCELADA
92.682.038/0001-00;CIA UNIAO SEGUROS GERAIS;CANCELADA
92.690.643/0001-22;CIA VINICOLA RIO GRANDENSE;CANCELADA
84.684.950/0001-72;CIA WETZEL INDL;CANCELADA
33.069.766/0001-81;CIA. BRAS PETRÓLEO IPIRANGA;CANCELADA
10.919.934/0001-85;CIA. DE CIMENTOS DO BRASIL;CANCELADA
