CNPJ_CIA;DENOM_SOCIAL;SIT
60.537.263/0001-66;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ATIVO
60.537.263/0001-66;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ATIVO
18.012.393/0001-19;ALMEC INDUSTRIAS MECANICA SA;CANCELADA
82.120.676/0001-83;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;ATIVO
61.079.117/0001-05;ALPARGATAS SA;ATIVO
61.079.117/0001-05;ALPARGATAS SA;ATIVO
47.848.684/0001-40;ALPART ALPA PARTICIPACOES SA;CANCELADA
11.721.921/0001-60;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;ATIVO
16.811.931/0001-00;ALPHAVILLE S.A.;ATIVO
87.819.926/0001-91;ALPINA BRASIL SA MAQ IMP AGRIC;CANCELADA
49.705.528/0001-55;ALPLAN SA IND COM CH MAD AGLOM;CANCELADA
02.282.923/0001-09;ALTA - AMER.LAT.TELEC.AVANÇADAS S/A;CANCELADA
02.783.423/0001-50;ALTERE SECURITIZADORA S.A.;ATIVO
48.344.725/0007-19;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA;ATIVO
92.859.974/0001-43;ALTUS SISTEMA DE AUTOMAÇÃO S.A.;CANCELADA
08.262.121/0001-13;ALUBAR METAIS E CABOS S.A.;ATIVO
10.886.893/0001-78;ALUMINIO EXTRUSAO LAMINACAO;CANCELADA
08.364.948/0001-38;ALUPAR INVESTIMENTO S/A;ATIVO
82.998.600/0001-55;ALUSUD ALUMINIO DO SUL SA;CANCELADA
42.233.757/0001-75;ALVAREZ & MARSAL INVESTIMENTOS I S.A.;ATIVO
07.196.934/0001-90;ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;CANCELADA
96.735.105/0001-68;AMADEO ROSSI SA MET MUNICOES;CANCELADA
24.170.211/0001-30;AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;CANCELADA
02.036.227/0001-12;AMARANTE PARTICIPACOES SA;CANCELADA
47.959.697/0001-96;AMAZONAS PRODS P CALCADOS SA;CANCELADA
38.543.489/0001-10;AMAZONE FUN PARKS S/A;CANCELADA
02.340.278/0001-33;AMAZONIA CELULAR S/A;CANCELADA
07.526.557/0001-00;AMBEV S.A.;ATIVO
07.526.557/0001-00;AMBEV S.A.;ATIVO
12.648.266/0001-24;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;ATIVO
12.648.266/0001-24;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;ATIVO
57.009.078/0001-94;AMELCO SA IND ELETRONICA;CANCELADA
44.081.677/0001-77;AMERICA DO SUL LEAS SA ARR MER;CANCELADA
00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;ATIVO
01.223.522/0001-15;AMERICAS EMPRS ARTISTICOS SA;CANCELADA
01.685.903/0001-16;AMERICEL SA;CANCELADA
36.461.242/0001-20;AMIL PARTICIPAÇÕES S/A;CANCELADA
03.494.776/0001-01;AMMO VAREJO S.A.;SUSPENSO(A) - DECISÃO ADM
33.050.071/0001-58;AMPLA ENERGIA E SERVIÇOS S.A.;ATIVO
07.809.905/0001-56;AMPLA INVESTIMENTOS E SERVIÇOS S/A;CANCELADA
40.430.571/0001-80;ANCAR EMPREENDIMENTOS COMERCIAIS S/A;CANCELADA
00.979.769/0001-01;ANCAR SHOPPING SA;CANCELADA
76.491.661/0001-29;ANCORA COMERCIAL SA;CANCELADA
60.503.232/0001-94;ANDERSON CLAYTON SA IND E COM;CANCELADA
03.601.314/0001-38;ANDRADE GUTIERREZ CONCESSOES SA;CANCELADA
04.031.960/0001-70;ANDRADE GUTIERREZ PARTICIPAÇÕES SA;CANCELADA
38.482.780/0001-26;ANEMUS WIND HOLDING S.A.;ATIVO
04.310.392/0001-46;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;CANCELADA
09.288.252/0001-32;ANIMA HOLDING S/A;ATIVO
60.661.451/0001-00;ANSON SA ENG FUND RECUPERACOES;CANCELADA
33.017.088/0001-03;APOLO PRODUTOS DE ACO SA;CANCELADA
11.197.023/0001-54;AQUA-RIO S/A;CANCELADA
45.169.000/0001-58;AQUATEC QUIMICA SA;CANCELADA
09.439.783/0001-89;ÁQUILLA SECURITIZADORA SA;CANCELADA
15.914.972/0001-69;AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;CANCELADA
42.157.511/0001-61;ARACRUZ CELULOSE S/A;CANCELADA
17.805.110/0001-23;ARAFERTIL SA;CANCELADA
02.517.787/0001-99;ARAGUAIA CIA INDL DE PROD ALIM;CANCELADA
01.543.362/0001-91;ARAGUAIA SA MIN RACOES FERTIL;CANCELADA
76.516.921/0001-73;ARAPUA IMPORTACAO COMERCIO SA;CANCELADA
03.616.277/0001-31;ARAUCÁRIA PARTICIPAÇÕES SA;CANCELADA
00.237.000/0001-00;ARBRA SA;CANCELADA
24.315.012/0001-73;ARCELOR BRASIL S.A.;CANCELADA
33.390.170/0001-89;ARCELORMITTAL INOX BRASIL S.A.;CANCELADA
92.660.158/0001-06;ARCON SA IND ELETROMETALURGICA;CANCELADA
02.036.233/0001-70;ARDOSIA PARTICIPACOES SA;CANCELADA
16.590.234/0001-76;AREZZO INDÚSTRIA E COMERCIO S/A;ATIVO
02.036.220/0001-09;ARGENTUM PARTICIPACOES SA;CANCELADA
24.624.551/0001-94;ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATIVO
24.624.490/0001-65;ARGO TRANSMISSÃO DE ENERGIA S.A.;ATIVO
20.514.590/0001-88;ARGO V TRANSMISSAO DE ENERGIA S.A.;ATIVO
20.514.555/0001-69;ARGO VI TRANSMISSAO DE ENERGIA S.A.;ATIVO
21.728.083/0001-00;ARGO VII TRANSMISSAO DE ENERGIA S.A.;ATIVO
02.605.028/0001-88;ARGOLIS HOLDINGS S.A.;CANCELADA
02.992.440/0001-06;ARGOLIS PARTICIPAÇÕES S/A;CANCELADA
00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;ATIVO
15.109.747/0001-50;ARMAZENS GERAIS EMPR UNIAO SA;CANCELADA
61.064.978/0001-01;ARNO SA;CANCELADA
10.976.124/0001-60;ARTEFATOS PAPEL NE SA ARTEPE;CANCELADA
02.919.555/0001-67;ARTERIS S.A.;ATIVO
92.189.356/0001-33;ARTHUR LANGE SA IND E COM;CANCELADA
09.359.927/0001-97;ASA BRANCA HOLDING S.A.;ATIVO
33.319.617/0001-23;ASBERIT SA;CANCELADA
04.944.815/0001-80;ASO METAL SA;CANCELADA
75.315.333/0001-09;ATACADÃO S.A.;ATIVO
75.315.333/0001-09;ATACADÃO S.A.;ATIVO
31.701.408/0001-14;ATHENA SAÚDE BRASIL S.A.;CANCELADA
13.720.918/0001-57;ATIVOS BRASILEIROS S.A.;CANCELADA
02.445.817/0001-07;ATL - ALGAR TELECOM LESTE S.A.;CANCELADA
01.431.728/0001-30;ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A;CANCELADA
12.610.165/0001-64;ATLETAS BRASILEIROS S/A;CANCELADA
04.032.433/0001-80;ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL;ATIVO
61.510.996/0001-70;ATMA SA;CANCELADA
00.886.257/0001-92;ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA;CANCELADA
00.359.742/0001-08;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATIVO
03.453.981/0001-10;AUFERVILLE TRUST SA;CANCELADA
08.213.823/0001-07;AURA ALMAS MINERAÇÃO S.A.;ATIVO
28.594.234/0001-23;AUREN ENERGIA S.A;ATIVO
00.160.436/0001-48;AUSTRAL INVESTIMENTOS SA;CANCELADA
47.709.365/0001-53;AUTEL SA TELECOMUNICAÇOES;CANCELADA
59.104.513/0001-95;AUTOMETAL S/A;CANCELADA
43.513.237/0001-89;AUTOMOB S.A.;ATIVO
09.326.342/0001-70;AUTOPISTA FERNÃO DIAS SA;ATIVO
09.324.949/0001-11;AUTOPISTA FLUMINENSE SA;ATIVO
09.313.969/0001-97;AUTOPISTA LITORAL SUL;ATIVO
09.325.109/0001-73;AUTOPISTA PLANALTO SUL SA;ATIVO
09.336.431/0001-06;AUTOPISTA REGIS BITTENCOURT SA;ATIVO
40.281.347/0001-74;AUTOTRAC COMERCIO E TELECOMUNICAÇÕES;CANCELADA
02.679.185/0001-38;AUTOVIAS S/A;CANCELADA
51.996.601/0001-37;AUXILIAR LEASING SA ARR MERC;CANCELADA
46.047.288/0001-50;AUXILIAR SA PARTICIPACOES;CANCELADA
27.956.690/0001-03;AUZZA SECURITIZADORA S. A.;ATIVO
15.011.696/0001-29;AVAL SECURITIZADORA DE CREDITOS S.A.;CANCELADA
54.649.819/0001-03;AVARA SA;CANCELADA
61.351.532/0001-68;AZEVEDO & TRAVASSOS SA;ATIVO
09.305.994/0001-29;AZUL S.A.;ATIVO
09.346.601/0001-25;B3 S.A. - BRASIL, BOLSA, BALCÃO;ATIVO
09.346.601/0001-25;B3 S.A. - BRASIL, BOLSA, BALCÃO;ATIVO
15.195.464/0001-78;BACRAFT SA INDUSTRIA DE PAPEL;CANCELADA
04.781.143/0001-39;BAESA-ENERGETICA BARRA GRANDE SA;CANCELADA
13.605.696/0001-21;BAHEMA AGROPECUARIA SA;CANCELADA
45.987.245/0001-92;BAHEMA EDUCACAO S.A.;ATIVO
96.832.365/0001-51;BAHEMA EQUIPAMENTOS SA;CANCELADA
15.258.023/0001-78;BAHIA OTHON PALACE HOTEL SA;CANCELADA
01.554.970/0001-00;BAHIA TRUST DE RECEBIVEIS;CANCELADA
09.462.852/0001-75;BALADARE PARTICIPAÇÕES S/A;CANCELADA
76.659.101/0001-30;BAMERINDUS SA CRED IMOBILIARIO;CANCELADA
75.170.076/0001-64;BAMERINDUS SA FINANC CRED INV;CANCELADA
76.543.156/0001-80;BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA
28.195.667/0001-06;BANCO ABC BRASIL S/A;ATIVO
10.664.513/0001-50;BANCO AGIBANK S.A.;CANCELADA
24.986.770/0001-13;BANCO AGRIMISA SA;CANCELADA
60.770.336/0001-65;BANCO ALFA DE INVESTIMENTO S.A.;CANCELADA
33.870.163/0001-84;BANCO ALVORADA S.A.;CANCELADA
76.543.115/0001-94;BANCO BAMERINDUS BRASIL SA;CANCELADA
63.090.609/0001-19;BANCO BANDEIRANTES DE INVESTIMENTOS SA;CANCELADA
15.142.490/0001-38;BANCO BANEB SA;CANCELADA
76.492.172/0001-91;BANCO BANESTADO SA;CANCELADA
10.781.532/0001-67;BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA
60.898.723/0001-81;BANCO BCN S.A.;CANCELADA
04.562.120/0001-33;BANCO BEA SA;CANCELADA
01.540.541/0001-75;BANCO BEG S.A.;CANCELADA
15.124.464/0001-87;BANCO BESA SA;CANCELADA
61.186.680/0001-74;BANCO BMG S/A;CANCELADA
61.186.680/0001-74;BANCO BMG S/A;ATIVO
33.485.541/0001-06;BANCO BOAVISTA INTERATLÂNTICO S.A.;CANCELADA
15.114.366/0001-69;BANCO BOCOM BBM S.A.;CANCELADA
71.027.866/0001-34;BANCO BONSUCESSO S.A.;CANCELADA
06.271.464/0001-19;BANCO BRADESCO BBI S.A.;CANCELADA
33.147.315/0001-15;BANCO BRADESCO BERJ S.A.;CANCELADA
60.746.948/0001-12;BANCO BRADESCO S.A.;ATIVO
30.306.294/0001-45;BANCO BTG PACTUAL S/A;ATIVO
33.349.358/0001-83;BANCO CACIQUE SA;CANCELADA
07.814.999/0001-51;BANCO COMERCIAL BANCESA S.A.;CANCELADA
61.230.165/0001-44;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;CANCELADA
21.562.962/0001-04;BANCO CREDITO REAL DE MG SA;CANCELADA
52.940.350/0001-31;BANCO CREFISUL S.A.;CANCELADA
04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.;ATIVO
62.232.889/0001-90;BANCO DAYCOVAL S.A.;ATIVO
